Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-11,MZ059523.1,USA: Arizona,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,4.0,3.0,3.0
2021-04-11,MZ059567.1,USA: Arizona,0.0,0.0,5.0,2.0,16.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0
2021-04-11,MZ061046.1,USA: Arizona,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-12,MZ164784.1,USA: AZ,0.0,2.0,2.0,3.0,16.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0
2021-04-12,MZ100168.1,USA: Arizona,0.0,2.0,3.0,3.0,18.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-04-12,MZ100172.1,USA: Arizona,0.0,2.0,5.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-04-12,MZ100213.1,USA: Arizona,0.0,1.0,2.0,0.0,18.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0
2021-04-12,MZ100297.1,USA: Arizona,0.0,0.0,4.0,1.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0
2021-04-12,MZ090114.1,USA: Arizona,0.0,2.0,4.0,4.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-12,MZ090151.1,USA: Arizona,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-12,MZ090163.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-12,MZ090172.1,USA: Arizona,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-12,MZ090212.1,USA: Arizona,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0
2021-04-12,MZ090219.1,USA: Arizona,0.0,2.0,3.0,4.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0
2021-04-12,MZ090236.1,USA: Arizona,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-04-12,MZ069981.1,USA: Arizona,0.0,0.0,3.0,2.0,14.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2021-04-12,MZ060840.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-12,MZ060873.1,USA: Arizona,0.0,4.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-12,MZ060875.1,USA: Arizona,0.0,3.0,4.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-12,MZ060883.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-04-13,MZ099831.1,USA: Arizona,1.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-13,MZ100115.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-04-13,MZ101312.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-13,MZ070138.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-13,MZ060676.1,USA: Arizona,0.0,1.0,5.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2021-04-13,MZ060700.1,USA: Arizona,0.0,2.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0
2021-04-13,MZ060737.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-14,MZ132933.1,USA: Arizona,2.0,2.0,4.0,1.0,17.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-14,MZ100376.1,USA: Arizona,0.0,3.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-14,MZ100713.1,USA: Arizona,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-14,MZ100717.1,USA: Arizona,0.0,0.0,4.0,1.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0
2021-04-14,MZ100884.1,USA: Arizona,0.0,2.0,4.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0
2021-04-14,MZ100920.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-14,MZ100991.1,USA: Arizona,2.0,2.0,3.0,1.0,18.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-04-14,MZ100992.1,USA: Arizona,0.0,3.0,2.0,3.0,20.0,0.0,2.0,4.0,1.0,2.0,3.0,1.0
2021-04-14,MZ101275.1,USA: Arizona,1.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-14,MZ060517.1,USA: Arizona,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-04-14,MZ060545.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-04-15,MZ144337.1,USA: Arizona,0.0,1.0,2.0,0.0,15.0,0.0,1.0,3.0,2.0,0.0,0.0,6.0
2021-04-15,MZ100996.1,USA: Arizona,0.0,2.0,7.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-15,MZ101019.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-04-15,MZ101069.1,USA: Arizona,2.0,3.0,3.0,2.0,14.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-04-15,MZ101071.1,USA: Arizona,1.0,0.0,4.0,0.0,17.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-04-16,MZ154167.1,USA: Arizona,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-04-16,MZ154176.1,USA: Arizona,1.0,1.0,3.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0
2021-04-16,MZ154586.1,USA: Arizona,0.0,2.0,3.0,3.0,18.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-04-16,MZ132692.1,USA: Arizona,0.0,4.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,4.0,4.0,2.0
2021-04-16,MZ132701.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-04-16,MZ133038.1,USA: Arizona,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-16,MZ133049.1,USA: Arizona,0.0,3.0,3.0,3.0,16.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0
2021-04-16,MZ133058.1,USA: Arizona,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-04-16,MZ133101.1,USA: Arizona,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-16,MZ133113.1,USA: Arizona,0.0,2.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0
2021-04-17,MZ161209.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-17,MZ161321.1,USA: Arizona,0.0,3.0,3.0,4.0,17.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0
2021-04-17,MZ161463.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-17,MZ154060.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-17,MZ132416.1,USA: Arizona,1.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0
2021-04-17,MZ132445.1,USA: Arizona,0.0,3.0,3.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0
2021-04-17,MZ132756.1,USA: Arizona,0.0,2.0,5.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-17,MZ132777.1,USA: Arizona,0.0,3.0,2.0,3.0,21.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-17,MZ133052.1,USA: Arizona,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-17,MZ133067.1,USA: Arizona,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
2021-04-17,MZ133073.1,USA: Arizona,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-17,MZ133095.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161328.1,USA: Arizona,0.0,3.0,3.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-18,MZ161412.1,USA: Arizona,0.0,2.0,5.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-18,MZ161425.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161434.1,USA: Arizona,0.0,2.0,6.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161477.1,USA: Arizona,0.0,3.0,3.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161487.1,USA: Arizona,0.0,3.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161492.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161503.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161529.1,USA: Arizona,0.0,3.0,3.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161530.1,USA: Arizona,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
